t_s,gap_mm,hall_mV,adc16
21.793,397,2486,32284
21.821,356,2486,32285
21.854,405,2486,32282
21.883,368,2486,32281
21.916,391,2486,32286
21.944,372,2486,32286
21.977,388,2486,32285
22.006,383,2486,32282
22.039,381,2486,32287
22.071,383,2486,32283
22.100,401,2486,32284
22.133,386,2486,32286
22.162,384,2486,32284
22.194,400,2486,32283
22.223,376,2486,32285
22.256,371,2486,32287
22.284,388,2486,32285
22.317,395,2485,32279
22.346,366,2486,32282
22.379,397,2486,32284
22.411,387,2486,32287
22.440,372,2486,32287
22.472,379,2486,32286
22.503,381,2486,32286
22.534,381,2486,32285
22.563,383,2486,32287
22.596,370,2486,32287
22.625,359,2486,32288
22.657,391,2486,32288
22.685,372,2486,32287
22.719,370,2486,32289
22.747,388,2486,32284
22.780,367,2486,32287
22.813,386,2486,32287
22.842,370,2486,32283
22.874,391,2486,32287
22.903,383,2486,32288
22.936,379,2486,32287
22.964,389,2486,32288
22.997,385,2486,32288
23.026,374,2486,32286
23.058,383,2486,32283
23.088,379,2486,32284
23.120,391,2486,32286
23.152,371,2486,32282
23.182,389,2486,32286
23.214,370,2486,32287
23.243,384,2486,32287
23.275,375,2486,32287
23.304,376,2486,32286
23.337,375,2486,32285
23.366,395,2486,32283
23.399,385,2486,32286
23.427,372,2486,32284
23.460,397,2486,32283
23.492,386,2486,32283
23.521,366,2486,32285
23.553,389,2486,32284
23.582,377,2486,32284
23.615,371,2486,32287
23.644,374,2486,32286
23.677,385,2486,32284
23.706,393,2486,32285
23.738,374,2486,32287
23.767,371,2486,32285
23.800,365,2486,32283
23.832,379,2486,32283
23.862,372,2486,32286
23.894,363,2486,32287
23.923,370,2486,32287
23.955,378,2486,32286
23.984,386,2486,32284
24.017,380,2486,32284
24.046,382,2486,32284
24.079,388,2486,32285
24.107,391,2486,32285
24.141,394,2486,32287
24.172,384,2486,32283
24.201,372,2486,32287
24.233,390,2486,32287
24.263,385,2486,32285
24.295,359,2486,32287
24.324,388,2486,32284
24.357,380,2486,32284
24.386,394,2486,32287
24.418,368,2486,32286
24.447,369,2486,32285
24.480,376,2486,32285
24.509,383,2486,32286
24.542,390,2486,32286
24.573,371,2486,32287
24.603,376,2486,32287
24.636,360,2486,32285
24.664,371,2486,32283
24.697,381,2486,32285
24.726,372,2486,32288
24.758,369,2486,32287
24.787,365,2486,32281
24.820,347,2486,32286
24.848,361,2486,32286
24.881,345,2486,32284
24.913,336,2486,32289
24.943,327,2491,32352
24.975,318,2490,32344
25.005,312,2490,32337
25.037,311,2489,32332
25.066,310,2489,32332
25.098,303,2489,32328
25.127,293,2488,32317
25.160,295,2488,32309
25.189,293,2488,32310
25.221,282,2488,32309
25.250,282,2487,32299
25.283,294,2489,32328
25.312,297,2488,32317
25.344,306,2488,32314
25.376,303,2487,32302
25.406,303,2488,32309
25.438,302,2487,32302
25.467,302,2488,32310
25.499,300,2488,32310
25.528,301,2487,32303
25.561,304,2487,32302
25.590,303,2487,32303
25.622,309,2487,32300
25.651,308,2487,32304
25.684,305,2487,32296
25.712,309,2487,32298
25.745,307,2487,32294
25.777,309,2487,32300
25.806,308,2486,32292
25.839,310,2486,32291
25.868,308,2486,32293
25.900,309,2487,32295
25.930,300,2487,32294
25.962,299,2486,32292
25.992,300,2486,32291
26.024,290,2487,32296
26.053,290,2486,32293
26.086,289,2487,32296
26.114,286,2486,32293
26.147,285,2486,32293
26.176,289,2486,32293
26.208,297,2486,32293
26.240,303,2486,32288
26.270,305,2486,32293
26.302,311,2486,32291
26.331,331,2486,32291
26.364,330,2486,32291
26.393,341,2486,32292
26.425,340,2486,32285
26.454,336,2486,32285
26.487,337,2486,32287
26.515,342,2486,32286
26.548,351,2485,32276
26.577,352,2483,32243
26.610,352,2480,32207
26.639,356,2476,32161
26.672,364,2473,32121
26.704,362,2530,32864
26.733,354,2461,31967
26.765,362,2461,31966
26.794,369,2461,31967
26.827,363,2452,31848
26.856,365,2451,31837
26.888,371,2451,31838
26.917,374,2451,31837
26.949,376,2451,31836
26.979,373,2452,31850
27.011,366,2457,31912
27.040,366,2461,31960
27.073,376,2461,31961
27.105,377,2462,31969
27.134,374,2461,31967
27.166,379,2463,31982
27.195,373,2464,31995
27.228,364,2464,32007
27.257,371,2464,32003
27.289,368,2464,31998
27.318,379,2463,31983
27.351,378,2462,31974
27.379,380,2461,31967
27.412,375,2461,31966
27.441,387,2461,31959
27.474,377,2461,31963
27.506,377,2461,31963
27.536,369,2459,31941
27.568,377,2453,31864
27.597,393,2452,31841
27.629,395,2450,31817
27.658,385,2450,31813
27.691,379,2450,31826
27.720,375,2450,31822
27.752,384,2450,31815
27.781,378,2447,31779
27.814,385,2442,31714
27.846,377,2431,31573
27.876,392,2422,31452
27.908,370,2411,31318
27.936,398,2402,31198
27.969,379,2401,31188
27.998,395,2385,30979
28.030,384,2373,30816
28.059,384,2359,30644
28.092,396,2330,30256
28.121,389,2317,30093
28.154,387,2304,29920
28.182,376,2296,29821
28.215,379,2284,29670
28.247,376,2284,29659
28.276,384,2283,29652
28.309,392,2275,29543
28.339,377,2275,29545
28.371,382,2279,29598
28.400,383,2274,29534
28.433,384,2271,29494
28.461,384,2269,29465
28.494,385,2262,29382
28.523,383,2264,29408
28.555,391,2269,29465
28.584,380,2283,29649
28.617,389,2289,29724
28.649,386,2295,29803
28.678,382,2298,29850
28.710,378,2297,29830
28.739,391,2299,29860
28.772,385,2298,29843
28.800,385,2284,29661
28.834,376,2269,29469
28.862,388,2254,29272
28.896,377,2236,29042
28.924,392,2230,28957
28.957,373,2225,28904
28.986,389,2227,28920
29.018,382,2225,28903
29.050,384,2225,28896
29.080,386,2229,28948
29.112,387,2230,28962
29.141,375,2230,28967
29.174,377,2237,29053
29.202,392,2244,29142
29.235,387,2244,29145
29.264,383,2243,29126
29.297,381,2240,29091
29.325,389,2239,29084
29.359,381,2240,29094
29.387,382,2244,29148
29.419,392,2254,29276
29.452,383,2265,29421
29.481,383,2271,29494
29.513,379,2282,29637
29.542,380,2289,29730
29.575,384,2302,29896
29.604,382,2309,29987
29.636,379,2319,30117
29.665,381,2324,30178
29.698,383,2319,30121
29.727,386,2315,30070
29.760,378,2308,29971
29.788,381,2303,29913
29.821,387,2300,29865
29.853,379,2294,29793
29.882,386,2294,29793
29.914,383,2294,29793
29.944,379,2295,29801
29.976,383,2294,29791
30.005,390,2294,29793
30.038,391,2294,29792
30.066,380,2293,29779
30.099,371,2294,29790
30.128,382,2294,29787
30.161,382,2293,29782
30.189,376,2293,29774
30.222,379,2288,29721
30.254,382,2284,29661
30.283,384,2283,29656
30.316,388,2269,29471
30.345,390,2265,29412
30.377,388,2245,29162
30.407,382,2236,29046
30.439,382,2240,29088
30.468,387,2243,29129
30.500,384,2244,29148
30.530,383,2254,29274
30.562,387,2261,29364
30.591,378,2260,29357
30.624,378,2260,29353
30.656,384,2256,29305
30.685,381,2254,29269
30.718,383,2244,29150
30.747,389,2244,29145
30.779,384,2244,29150
30.808,386,2252,29244
30.840,383,2258,29324
30.869,387,2268,29457
30.902,383,2278,29581
30.931,384,2283,29653
30.964,383,2284,29667
30.992,382,2293,29774
31.025,384,2291,29754
31.057,387,2285,29681
31.086,381,2287,29703
31.119,393,2285,29674
31.148,376,2284,29667
31.180,387,2285,29680
31.209,384,2291,29751
31.242,384,2298,29849
31.271,378,2304,29921
31.303,380,2311,30010
31.332,380,2324,30177
31.365,384,2328,30232
31.394,383,2331,30277
31.427,382,2342,30415
31.456,383,2341,30398
31.488,378,2335,30322
31.520,387,2330,30265
31.549,391,2328,30235
31.582,385,2324,30185
31.611,386,2319,30113
31.644,382,2312,30029
31.673,384,2308,29969
31.705,383,2302,29900
31.734,384,2291,29750
31.766,382,2284,29666
31.795,383,2284,29660
31.828,388,2291,29760
31.856,385,2303,29915
31.890,384,2308,29976
31.922,378,2311,30012
31.951,393,2313,30034
31.983,386,2307,29965
32.012,382,2302,29892
32.045,379,2295,29807
32.073,380,2294,29789
32.106,387,2291,29756
32.135,380,2292,29771
32.168,376,2292,29771
32.197,390,2287,29707
32.229,372,2284,29660
32.258,387,2284,29661
32.291,387,2278,29583
32.323,391,2270,29486
32.352,382,2269,29472
32.384,383,2269,29464
32.413,388,2268,29458
32.446,386,2268,29457
32.475,381,2265,29419
32.507,382,2265,29417
32.536,385,2269,29466
32.569,374,2270,29477
32.597,383,2276,29557
32.630,380,2279,29593
32.659,382,2280,29608
32.692,381,2277,29574
32.724,377,2269,29469
32.753,383,2267,29438
32.786,382,2265,29418
32.815,392,2266,29432
32.847,387,2268,29458
32.877,382,2268,29459
32.909,381,2265,29416
32.938,386,2263,29388
32.971,387,2256,29304
33.000,389,2254,29277
33.032,380,2249,29213
33.061,380,2247,29178
33.093,383,2250,29224
33.126,388,2251,29236
33.155,386,2248,29195
33.188,387,2245,29156
33.216,376,2254,29277
33.249,380,2254,29280
33.278,377,2268,29461
33.311,382,2276,29564
33.340,381,2282,29641
33.372,383,2284,29659
33.401,396,2278,29592
33.434,380,2269,29468
33.462,389,2264,29399
33.495,371,2257,29308
33.527,384,2262,29376
33.556,390,2269,29468
33.589,378,2279,29598
33.618,379,2284,29660
33.650,383,2284,29662
33.679,382,2284,29664
33.712,386,2285,29672
33.741,383,2284,29666
33.774,384,2286,29685
33.802,388,2289,29727
33.835,379,2289,29733
33.863,383,2288,29718
33.896,390,2289,29733
33.928,386,2293,29777
33.958,388,2300,29875
33.990,386,2309,29994
34.019,375,2324,30186
34.051,382,2330,30257
34.080,375,2339,30378
34.113,384,2345,30456
34.142,379,2347,30488
34.174,387,2348,30494
34.203,375,2350,30523
34.236,384,2351,30539
34.265,384,2355,30584
34.297,374,2358,30624
34.330,377,2359,30638
34.359,374,2358,30629
34.391,382,2359,30634
34.420,385,2360,30654
34.453,387,2361,30668
34.482,387,2363,30684
34.514,386,2367,30742
34.543,378,2368,30752
34.576,383,2368,30760
34.605,379,2369,30770
34.637,383,2369,30774
34.666,376,2368,30759
34.699,376,2369,30766
34.731,371,2371,30790
34.760,386,2372,30809
34.793,386,2372,30805
34.821,378,2372,30803
34.854,377,2372,30801
34.883,380,2371,30798
34.916,375,2372,30812
34.944,377,2373,30820
34.977,379,2374,30834
35.006,384,2376,30859
35.039,380,2377,30869
35.067,380,2376,30863
35.100,380,2377,30866
35.129,381,2376,30861
35.161,379,2374,30831
35.194,378,2372,30813
35.223,379,2373,30816
35.255,369,2372,30812
35.284,380,2372,30802
35.317,383,2373,30816
35.346,383,2373,30813
35.378,376,2373,30817
35.407,388,2373,30813
35.440,378,2372,30812
35.469,373,2372,30812
35.501,376,2373,30815
35.530,383,2373,30818
35.563,375,2373,30821
35.595,382,2373,30818
35.624,384,2373,30816
35.657,372,2373,30813
35.686,382,2372,30806
35.718,379,2370,30779
35.747,380,2368,30755
35.780,378,2367,30745
35.809,380,2367,30746
35.841,378,2367,30744
35.870,379,2367,30735
35.903,381,2366,30723
35.931,381,2366,30724
35.964,379,2366,30729
35.997,375,2366,30731
36.026,375,2367,30738
36.058,380,2367,30747
36.087,388,2368,30750
36.120,384,2367,30746
