t_s,phase,gap_mm,ref_mm,pwm
7.315,post,27.5,30.2,56
7.335,post,27.2,30.2,93
7.356,post,26.8,30.2,84
7.376,post,28.1,30.2,128
7.397,post,27.5,30.2,103
7.417,post,29.7,30.2,172
7.437,post,27.5,30.2,85
7.458,post,31.4,30.2,216
7.479,post,26.3,30.2,47
7.499,post,28.8,30.2,141
7.519,post,26.3,30.2,68
7.540,post,26.8,30.2,94
7.560,post,27.4,30.2,112
7.581,post,28.7,30.2,138
7.601,post,28.0,30.2,117
7.622,post,31.4,30.2,199
7.642,post,26.8,30.2,70
7.663,post,27.7,30.2,98
7.683,post,27.0,30.2,91
7.704,post,28.0,30.2,124
7.724,post,27.5,30.2,106
7.745,post,28.5,30.2,126
7.765,post,29.0,30.2,145
7.786,post,28.5,30.2,95
7.806,post,28.0,30.2,113
7.827,post,27.4,30.2,89
7.847,post,27.0,30.2,93
7.868,post,27.2,30.2,97
7.888,post,27.9,30.2,118
7.909,post,27.9,30.2,113
7.929,post,28.1,30.2,119
7.950,post,28.2,30.2,122
7.970,post,27.9,30.2,111
7.991,post,28.0,30.2,118
8.011,post,27.8,30.2,104
8.032,post,28.8,30.2,139
8.052,post,27.5,30.2,93
8.073,post,31.1,30.2,202
8.093,post,26.8,30.2,63
8.114,post,28.8,30.2,129
8.134,post,27.2,30.2,93
8.154,post,28.3,30.2,121
8.175,post,27.3,30.2,99
8.195,post,29.2,30.2,147
8.216,post,27.7,30.2,105
8.236,post,28.3,30.2,102
8.257,post,27.5,30.2,104
8.277,post,27.4,30.2,99
8.298,post,27.9,30.2,116
8.318,post,27.4,30.2,102
8.339,post,27.9,30.2,116
8.359,post,27.5,30.2,101
8.380,post,28.2,30.2,121
8.400,post,27.8,30.2,110
8.421,post,28.3,30.2,119
8.441,post,28.2,30.2,122
8.462,post,28.6,30.2,125
8.482,post,28.1,30.2,113
8.503,post,29.3,30.2,147
8.523,post,28.1,30.2,113
8.544,post,31.2,30.2,180
8.564,post,26.6,30.2,64
8.585,post,26.7,30.2,81
8.605,post,27.0,30.2,98
8.625,post,27.3,30.2,107
8.646,post,28.0,30.2,122
8.667,post,28.5,30.2,132
8.687,post,28.2,30.2,111
8.707,post,28.4,30.2,120
8.728,post,27.9,30.2,103
8.749,post,28.1,30.2,118
8.769,post,28.1,30.2,97
8.789,post,27.5,30.2,102
8.810,post,26.9,30.2,81
8.830,post,27.7,30.2,115
8.851,post,27.8,30.2,114
8.871,post,28.6,30.2,128
8.892,post,27.7,30.2,97
8.912,post,31.6,30.2,207
8.933,post,26.7,30.2,64
8.953,post,27.4,30.2,92
8.974,post,26.8,30.2,88
8.994,post,27.4,30.2,109
9.015,post,28.1,30.2,125
9.035,post,28.0,30.2,113
9.056,post,28.9,30.2,134
9.076,post,28.6,30.2,129
9.097,post,28.3,30.2,113
9.117,post,27.8,30.2,108
9.138,post,28.8,30.2,134
9.158,post,27.2,30.2,88
9.178,post,28.1,30.2,117
9.199,post,28.2,30.2,122
9.220,post,27.1,30.2,72
9.240,post,28.1,30.2,125
9.261,post,27.4,30.2,97
9.281,post,29.2,30.2,151
9.302,post,27.1,30.2,83
9.322,post,31.0,30.2,198
9.342,post,26.4,30.2,58
9.363,post,27.5,30.2,98
9.383,post,26.9,30.2,91
9.404,post,27.8,30.2,116
9.424,post,27.6,30.2,105
9.445,post,28.5,30.2,131
9.465,post,27.9,30.2,106
9.486,post,30.4,30.2,184
9.506,post,26.5,30.2,53
9.527,post,28.5,30.2,131
9.547,post,27.0,30.2,89
9.568,post,27.2,30.2,95
9.588,post,28.1,30.2,126
9.609,post,27.5,30.2,98
9.629,post,29.2,30.2,150
9.650,post,28.1,30.2,113
9.670,post,29.8,30.2,159
9.690,post,27.5,30.2,96
9.711,post,30.1,30.2,164
9.731,post,27.0,30.2,81
9.752,post,27.7,30.2,107
9.772,post,27.4,30.2,103
9.793,post,28.6,30.2,136
9.813,post,27.6,30.2,104
9.834,post,29.1,30.2,143
9.854,post,27.7,30.2,98
9.875,post,29.4,30.2,145
9.895,post,27.0,30.2,81
9.916,post,28.8,30.2,138
9.940,post,27.5,30.2,100
9.960,post,28.0,30.2,116
9.981,post,28.1,30.2,118
10.002,post,28.8,30.2,131
10.022,post,28.0,30.2,110
10.043,post,28.9,30.2,135
10.063,post,28.1,30.2,116
10.083,post,29.1,30.2,123
10.104,post,27.3,30.2,93
10.124,post,27.5,30.2,99
10.145,post,27.9,30.2,119
